orf_id,sequence_id,start,end,strand,frame,length_bp,length_aa,start_codon,confidence_score,overlap_flag,overlap_with
NC_007373.1_predicted_orf_1,NC_007373.1,28,2307,+,1,2280,759,ATG,1.0,Overlap,"ORF_NC_007373.1_-2_157_252,ORF_NC_007373.1_-1_197_364,ORF_NC_007373.1_-2_400_507,ORF_NC_007373.1_-3_477_713,ORF_NC_007373.1_-1_584_700,ORF_NC_007373.1_+3_612_716,ORF_NC_007373.1_-3_732_1118,ORF_NC_007373.1_-1_806_904,ORF_NC_007373.1_-3_1173_1292,ORF_NC_007373.1_-1_1289_1450,ORF_NC_007373.1_-3_1365_1670,ORF_NC_007373.1_-2_1447_1548,ORF_NC_007373.1_-2_1621_1770,ORF_NC_007373.1_-3_1767_1997,ORF_NC_007373.1_-1_1814_1933,ORF_NC_007373.1_-3_1998_2303"
NC_007373.1_predicted_orf_2,NC_007373.1,157,252,-,-2,96,31,TTG,0.4114,Overlap,"ORF_NC_007373.1_+1_28_2307,ORF_NC_007373.1_-1_197_364"
NC_007373.1_predicted_orf_3,NC_007373.1,197,364,-,-1,168,55,TTG,0.4844,Overlap,"ORF_NC_007373.1_+1_28_2307,ORF_NC_007373.1_-2_157_252"
NC_007373.1_predicted_orf_4,NC_007373.1,400,507,-,-2,108,35,TTG,0.4209,Overlap,ORF_NC_007373.1_+1_28_2307
NC_007373.1_predicted_orf_5,NC_007373.1,477,713,-,-3,237,78,ATG,0.7397,Overlap,"ORF_NC_007373.1_+1_28_2307,ORF_NC_007373.1_-1_584_700,ORF_NC_007373.1_+3_612_716"
NC_007373.1_predicted_orf_6,NC_007373.1,732,1118,-,-3,387,128,GTG,0.8459,Overlap,"ORF_NC_007373.1_+1_28_2307,ORF_NC_007373.1_-1_806_904"
NC_007373.1_predicted_orf_7,NC_007373.1,1173,1292,-,-3,120,39,TTG,0.4312,Overlap,ORF_NC_007373.1_+1_28_2307
NC_007373.1_predicted_orf_8,NC_007373.1,1289,1450,-,-1,162,53,TTG,0.4767,Overlap,"ORF_NC_007373.1_+1_28_2307,ORF_NC_007373.1_-3_1365_1670"
NC_007373.1_predicted_orf_9,NC_007373.1,1365,1670,-,-3,306,101,TTG,0.6992,Overlap,"ORF_NC_007373.1_+1_28_2307,ORF_NC_007373.1_-1_1289_1450,ORF_NC_007373.1_-2_1447_1548"
NC_007373.1_predicted_orf_10,NC_007373.1,1621,1770,-,-2,150,49,TTG,0.4618,Overlap,ORF_NC_007373.1_+1_28_2307
NC_007373.1_predicted_orf_11,NC_007373.1,1767,1997,-,-3,231,76,TTG,0.5799,Overlap,"ORF_NC_007373.1_+1_28_2307,ORF_NC_007373.1_-1_1814_1933"
NC_007373.1_predicted_orf_12,NC_007373.1,1998,2303,-,-3,306,101,TTG,0.6989,Overlap,ORF_NC_007373.1_+1_28_2307
NC_007372.1_predicted_orf_1,NC_007372.1,21,233,+,3,213,70,TTG,0.5499,Overlap,"ORF_NC_007372.1_+1_25_2298,ORF_NC_007372.1_-2_52_168,ORF_NC_007372.1_-3_93_224,ORF_NC_007372.1_+2_119_391"
NC_007372.1_predicted_orf_2,NC_007372.1,25,2298,+,1,2274,757,ATG,1.0,Overlap,"ORF_NC_007372.1_+3_21_233,ORF_NC_007372.1_-2_52_168,ORF_NC_007372.1_-3_93_224,ORF_NC_007372.1_+2_119_391,ORF_NC_007372.1_-1_296_451,ORF_NC_007372.1_-3_432_527,ORF_NC_007372.1_-2_541_654,ORF_NC_007372.1_-3_672_944,ORF_NC_007372.1_-2_901_1011,ORF_NC_007372.1_-3_1008_1373,ORF_NC_007372.1_-1_1022_1147,ORF_NC_007372.1_-2_1279_1404,ORF_NC_007372.1_-3_1512_1682,ORF_NC_007372.1_-1_1538_1651,ORF_NC_007372.1_-2_1582_1725,ORF_NC_007372.1_+2_1634_1753,ORF_NC_007372.1_-1_1679_1813,ORF_NC_007372.1_-2_1867_2016,ORF_NC_007372.1_-3_1881_2273,ORF_NC_007372.1_+2_2072_2257,ORF_NC_007372.1_-2_2134_2319"
NC_007372.1_predicted_orf_3,NC_007372.1,52,168,-,-2,117,38,TTG,0.4276,Overlap,"ORF_NC_007372.1_+3_21_233,ORF_NC_007372.1_+1_25_2298,ORF_NC_007372.1_-3_93_224"
