protein_id,length_aa,annotation_status,uniprot_id,subject_db_id,description,evalue,e_val,bitscore,identity_percent,identity_pct,query_coverage,query_coverage_pct,subject_coverage
ENA|BN000065|BN000065.1_predicted_orf_1,43,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_2,32,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_3,40,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_4,38,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_5,54,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_6,55,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_7,31,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_8,88,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_9,30,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_10,31,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_11,37,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_12,50,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_13,84,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_14,53,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_15,50,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_16,51,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_17,59,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_18,41,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_19,58,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_20,34,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_21,43,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_22,31,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_23,44,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_24,40,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_25,62,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_26,56,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_27,134,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_28,55,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_29,100,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_30,54,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_31,64,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_32,43,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_33,33,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_34,30,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_35,72,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_36,39,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_37,33,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_38,32,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_39,72,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_40,33,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_41,56,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_42,54,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_43,67,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_44,42,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_45,78,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_46,42,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_47,33,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_48,39,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_49,57,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_50,60,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_51,40,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_52,39,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_53,48,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_54,74,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_55,32,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_56,39,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_57,49,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_58,89,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_59,32,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_60,45,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_61,43,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_62,32,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_63,49,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_64,44,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_65,64,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_66,34,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_67,37,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_68,58,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_69,46,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
ENA|BN000065|BN000065.1_predicted_orf_70,55,Hypothetical Protein,,None,hypothetical protein,,,,,,,,
