protein_id	length_aa	annotation_status	uniprot_id	subject_db_id	description	evalue	e_val	bitscore	identity_percent	identity_pct	query_coverage	query_coverage_pct	subject_coverage	refined_identity	refined_length	annotation_confidence
AF288641.1_predicted_orf_1	43	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_2	30	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_3	32	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_4	44	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_5	34	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_6	34	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_7	67	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_8	87	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_9	72	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_10	92	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_11	41	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_12	44	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_13	36	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_14	35	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_15	41	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_16	34	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_17	31	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_18	47	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_19	32	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_20	30	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_21	35	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_22	58	Hypothetical Protein		None	hypothetical protein											0.0
AF288641.1_predicted_orf_23	51	Hypothetical Protein		None	hypothetical protein											0.0
