orf_id,sequence_id,start,end,strand,frame,length_bp,length_aa,start_codon,confidence_score,overlap_flag,overlap_with
SRR13182871.7_predicted_orf_1,SRR13182871.7,3,95,-,-3,93,30,TTG,0.4092,None,
SRR13182871.9_predicted_orf_1,SRR13182871.9,1,93,-,-2,93,30,ATG,0.5596,None,
SRR13182871.16_predicted_orf_1,SRR13182871.16,52,144,+,1,93,30,TTG,0.4096,None,
SRR13182871.18_predicted_orf_1,SRR13182871.18,18,110,+,3,93,30,TTG,0.4092,Overlap,ORF_SRR13182871.18_-2_38_175
SRR13182871.18_predicted_orf_2,SRR13182871.18,38,175,-,-2,138,45,GTG,0.5082,Overlap,ORF_SRR13182871.18_+3_18_110
SRR13182871.23_predicted_orf_1,SRR13182871.23,6,134,-,-3,129,42,TTG,0.4397,None,
SRR13182871.28_predicted_orf_1,SRR13182871.28,101,229,-,-3,129,42,ATG,0.5897,Overlap,ORF_SRR13182871.28_+3_156_248
SRR13182871.28_predicted_orf_2,SRR13182871.28,156,248,+,3,93,30,TTG,0.4095,Overlap,ORF_SRR13182871.28_-3_101_229
SRR13182871.33_predicted_orf_1,SRR13182871.33,15,107,+,3,93,30,GTG,0.4689,None,
SRR13182871.34_predicted_orf_1,SRR13182871.34,62,157,-,-3,96,31,GTG,0.4717,None,
SRR13182871.39_predicted_orf_1,SRR13182871.39,38,136,+,2,99,32,GTG,0.4739,None,
SRR13182871.40_predicted_orf_1,SRR13182871.40,48,149,+,3,102,33,ATG,0.5658,None,
SRR13182871.41_predicted_orf_1,SRR13182871.41,26,142,+,2,117,38,TTG,0.4284,None,
SRR13182871.43_predicted_orf_1,SRR13182871.43,76,168,-,-3,93,30,GTG,0.4695,None,
SRR13182871.44_predicted_orf_1,SRR13182871.44,65,238,-,-1,174,57,TTG,0.4925,None,
SRR13182871.45_predicted_orf_1,SRR13182871.45,21,122,-,-3,102,33,ATG,0.5661,None,
SRR13182871.45_predicted_orf_2,SRR13182871.45,85,261,-,-2,177,58,TTG,0.4964,None,
SRR13182871.51_predicted_orf_1,SRR13182871.51,4,108,-,-2,105,34,TTG,0.4184,None,
SRR13182871.65_predicted_orf_1,SRR13182871.65,13,135,-,-1,123,40,GTG,0.4929,None,
SRR13182871.65_predicted_orf_2,SRR13182871.65,101,223,+,2,123,40,ATG,0.5838,None,
SRR13182871.67_predicted_orf_1,SRR13182871.67,4,108,+,1,105,34,GTG,0.4785,None,
SRR13182871.69_predicted_orf_1,SRR13182871.69,3,125,-,-3,123,40,GTG,0.4929,None,
SRR13182871.69_predicted_orf_2,SRR13182871.69,91,213,+,1,123,40,ATG,0.5838,None,
SRR13182871.70_predicted_orf_1,SRR13182871.70,43,144,-,-2,102,33,TTG,0.4161,None,
SRR13182871.76_predicted_orf_1,SRR13182871.76,1,243,+,1,243,80,GTG,0.66,None,
SRR13182871.77_predicted_orf_1,SRR13182871.77,59,235,-,-2,177,58,ATG,0.6466,Overlap,ORF_SRR13182871.77_+2_107_229
SRR13182871.77_predicted_orf_2,SRR13182871.77,107,229,+,2,123,40,GTG,0.494,Overlap,ORF_SRR13182871.77_-2_59_235
SRR13182871.79_predicted_orf_1,SRR13182871.79,66,263,-,-1,198,65,TTG,0.5271,Overlap,ORF_SRR13182871.79_-2_131_223
SRR13182871.83_predicted_orf_1,SRR13182871.83,28,129,-,-2,102,33,ATG,0.566,None,
SRR13182871.85_predicted_orf_1,SRR13182871.85,39,140,-,-2,102,33,ATG,0.5657,None,
SRR13182871.86_predicted_orf_1,SRR13182871.86,19,168,-,-1,150,49,ATG,0.6122,Overlap,ORF_SRR13182871.86_+2_35_130
SRR13182871.86_predicted_orf_2,SRR13182871.86,35,130,+,2,96,31,ATG,0.5617,Overlap,ORF_SRR13182871.86_-1_19_168
SRR13182871.87_predicted_orf_1,SRR13182871.87,27,119,-,-2,93,30,ATG,0.5595,None,
SRR13182871.92_predicted_orf_1,SRR13182871.92,48,197,+,3,150,49,GTG,0.5222,None,
SRR13182871.96_predicted_orf_1,SRR13182871.96,43,159,+,1,117,38,GTG,0.4884,Overlap,ORF_SRR13182871.96_-2_72_173
SRR13182871.96_predicted_orf_2,SRR13182871.96,72,173,-,-2,102,33,TTG,0.4162,Overlap,ORF_SRR13182871.96_+1_43_159
SRR13182871.98_predicted_orf_1,SRR13182871.98,10,102,-,-1,93,30,TTG,0.4094,None,
