orf_id,sequence_id,start,end,strand,frame,length_bp,length_aa,start_codon,confidence_score,overlap_flag,overlap_with
AF288641.1_predicted_orf_1,AF288641.1,8,139,+,2,132,43,TTG,0.4427,None,
AF288641.1_predicted_orf_2,AF288641.1,115,207,-,-2,93,30,GTG,0.4637,None,
AF288641.1_predicted_orf_3,AF288641.1,224,322,+,2,99,32,ATG,0.5606,None,
AF288641.1_predicted_orf_4,AF288641.1,305,439,-,-1,135,44,ATG,0.5957,Overlap,ORF_AF288641.1_+3_360_464
AF288641.1_predicted_orf_5,AF288641.1,360,464,+,3,105,34,TTG,0.4169,Overlap,ORF_AF288641.1_-1_305_439
AF288641.1_predicted_orf_6,AF288641.1,538,642,-,-2,105,34,ATG,0.5619,None,
AF288641.1_predicted_orf_7,AF288641.1,629,832,-,-1,204,67,TTG,0.5364,Overlap,"ORF_AF288641.1_-3_642_905,ORF_AF288641.1_+3_720_938,ORF_AF288641.1_+2_728_862,ORF_AF288641.1_+1_769_1047"
AF288641.1_predicted_orf_8,AF288641.1,642,905,-,-3,264,87,ATG,0.7839,Overlap,"ORF_AF288641.1_-1_629_832,ORF_AF288641.1_+3_720_938,ORF_AF288641.1_+2_728_862,ORF_AF288641.1_+1_769_1047"
AF288641.1_predicted_orf_9,AF288641.1,720,938,+,3,219,72,TTG,0.5585,Overlap,"ORF_AF288641.1_-1_629_832,ORF_AF288641.1_-3_642_905,ORF_AF288641.1_+2_728_862,ORF_AF288641.1_+1_769_1047"
AF288641.1_predicted_orf_10,AF288641.1,769,1047,+,1,279,92,TTG,0.6531,Overlap,"ORF_AF288641.1_-1_629_832,ORF_AF288641.1_-3_642_905,ORF_AF288641.1_+3_720_938,ORF_AF288641.1_+2_728_862,ORF_AF288641.1_-3_927_1052,ORF_AF288641.1_-1_935_1033"
AF288641.1_predicted_orf_11,AF288641.1,927,1052,-,-3,126,41,TTG,0.4311,Overlap,"ORF_AF288641.1_+1_769_1047,ORF_AF288641.1_-1_935_1033"
AF288641.1_predicted_orf_12,AF288641.1,1101,1235,+,3,135,44,ATG,0.5958,Overlap,ORF_AF288641.1_-2_1135_1245
AF288641.1_predicted_orf_13,AF288641.1,1135,1245,-,-2,111,36,GTG,0.4834,Overlap,ORF_AF288641.1_+3_1101_1235
AF288641.1_predicted_orf_14,AF288641.1,1245,1352,-,-3,108,35,TTG,0.4209,Overlap,ORF_AF288641.1_-1_1277_1402
AF288641.1_predicted_orf_15,AF288641.1,1277,1402,-,-1,126,41,GTG,0.4925,Overlap,"ORF_AF288641.1_-3_1245_1352,ORF_AF288641.1_+3_1326_1430,ORF_AF288641.1_+1_1342_1437"
AF288641.1_predicted_orf_16,AF288641.1,1326,1430,+,3,105,34,TTG,0.4067,Overlap,"ORF_AF288641.1_-1_1277_1402,ORF_AF288641.1_+1_1342_1437,ORF_AF288641.1_-2_1363_1506"
AF288641.1_predicted_orf_17,AF288641.1,1342,1437,+,1,96,31,GTG,0.4592,Overlap,"ORF_AF288641.1_-1_1277_1402,ORF_AF288641.1_+3_1326_1430,ORF_AF288641.1_-2_1363_1506"
AF288641.1_predicted_orf_18,AF288641.1,1363,1506,-,-2,144,47,GTG,0.509,Overlap,"ORF_AF288641.1_+3_1326_1430,ORF_AF288641.1_+1_1342_1437"
AF288641.1_predicted_orf_19,AF288641.1,1628,1726,-,-1,99,32,ATG,0.5581,None,
AF288641.1_predicted_orf_20,AF288641.1,1727,1819,+,2,93,30,TTG,0.4096,Overlap,ORF_AF288641.1_-1_1748_1855
AF288641.1_predicted_orf_21,AF288641.1,1748,1855,-,-1,108,35,ATG,0.5697,Overlap,ORF_AF288641.1_+2_1727_1819
AF288641.1_predicted_orf_22,AF288641.1,1868,2044,+,2,177,58,TTG,0.4944,Overlap,ORF_AF288641.1_-1_1949_2104
AF288641.1_predicted_orf_23,AF288641.1,1949,2104,-,-1,156,51,GTG,0.5287,Overlap,ORF_AF288641.1_+2_1868_2044
