protein_id	length_aa	annotation_status	uniprot_id	subject_db_id	description	evalue	e_val	bitscore	identity_percent	identity_pct	query_coverage	query_coverage_pct	subject_coverage	refined_identity	refined_length	annotation_confidence
ENA|PV935594|PV935594.1_predicted_orf_1	52	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_2	4405	Annotated	P0DTC1	sp|P0DTC1|R1A_SARS2	Homolog to sp|P0DTC1|R1A_SARS2 (evalue: 0.0)	0.0	0.0	8659.0	100.0	100.0	100.0	100.0	100.0	100.0	4405.0	1.0
ENA|PV935594|PV935594.1_predicted_orf_3	81	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_4	58	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_5	46	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_6	33	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_7	30	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_8	125	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_9	30	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_10	38	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_11	45	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_12	153	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_13	118	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_14	35	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_15	85	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_16	31	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_17	31	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_18	35	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_19	36	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_20	31	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_21	30	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_22	67	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_23	32	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_24	33	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_25	44	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_26	49	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_27	32	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_28	36	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_29	51	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_30	30	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_31	61	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_32	30	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_33	118	Hypothetical Protein		None	hypothetical protein											0.0
