orf_id,sequence_id,start,end,strand,frame,length_bp,length_aa,start_codon,confidence_score,overlap_flag,overlap_with
ENA|BN000065|BN000065.1_predicted_orf_1,ENA|BN000065|BN000065.1,72,203,-,-1,132,43,GTG,0.5024,Overlap,"ORF_ENA|BN000065|BN000065.1_-2_107_205,ORF_ENA|BN000065|BN000065.1_+2_116_238,ORF_ENA|BN000065|BN000065.1_+1_118_234"
ENA|BN000065|BN000065.1_predicted_orf_2,ENA|BN000065|BN000065.1,107,205,-,-2,99,32,GTG,0.4739,Overlap,"ORF_ENA|BN000065|BN000065.1_-1_72_203,ORF_ENA|BN000065|BN000065.1_+2_116_238,ORF_ENA|BN000065|BN000065.1_+1_118_234"
ENA|BN000065|BN000065.1_predicted_orf_3,ENA|BN000065|BN000065.1,116,238,+,2,123,40,ATG,0.5839,Overlap,"ORF_ENA|BN000065|BN000065.1_-1_72_203,ORF_ENA|BN000065|BN000065.1_-2_107_205,ORF_ENA|BN000065|BN000065.1_+1_118_234"
ENA|BN000065|BN000065.1_predicted_orf_4,ENA|BN000065|BN000065.1,231,395,-,-1,165,54,TTG,0.48,Overlap,"ORF_ENA|BN000065|BN000065.1_+1_235_402,ORF_ENA|BN000065|BN000065.1_+2_293_388,ORF_ENA|BN000065|BN000065.1_+3_345_611"
ENA|BN000065|BN000065.1_predicted_orf_5,ENA|BN000065|BN000065.1,235,402,+,1,168,55,ATG,0.6342,Overlap,"ORF_ENA|BN000065|BN000065.1_-1_231_395,ORF_ENA|BN000065|BN000065.1_+2_293_388,ORF_ENA|BN000065|BN000065.1_+3_345_611"
ENA|BN000065|BN000065.1_predicted_orf_6,ENA|BN000065|BN000065.1,345,611,+,3,267,88,ATG,0.7852,Overlap,"ORF_ENA|BN000065|BN000065.1_-1_231_395,ORF_ENA|BN000065|BN000065.1_+1_235_402,ORF_ENA|BN000065|BN000065.1_-3_385_477,ORF_ENA|BN000065|BN000065.1_-1_417_512,ORF_ENA|BN000065|BN000065.1_+2_485_598,ORF_ENA|BN000065|BN000065.1_-2_506_658"
ENA|BN000065|BN000065.1_predicted_orf_7,ENA|BN000065|BN000065.1,385,477,-,-3,93,30,TTG,0.4034,Overlap,"ORF_ENA|BN000065|BN000065.1_+3_345_611,ORF_ENA|BN000065|BN000065.1_-1_417_512"
ENA|BN000065|BN000065.1_predicted_orf_8,ENA|BN000065|BN000065.1,417,512,-,-1,96,31,TTG,0.4031,Overlap,"ORF_ENA|BN000065|BN000065.1_+3_345_611,ORF_ENA|BN000065|BN000065.1_-3_385_477"
ENA|BN000065|BN000065.1_predicted_orf_9,ENA|BN000065|BN000065.1,506,658,-,-2,153,50,TTG,0.4643,Overlap,"ORF_ENA|BN000065|BN000065.1_+3_345_611,ORF_ENA|BN000065|BN000065.1_+2_485_598"
ENA|BN000065|BN000065.1_predicted_orf_10,ENA|BN000065|BN000065.1,632,886,+,2,255,84,ATG,0.767,Overlap,"ORF_ENA|BN000065|BN000065.1_-2_695_856,ORF_ENA|BN000065|BN000065.1_+3_717_869,ORF_ENA|BN000065|BN000065.1_-1_750_905,ORF_ENA|BN000065|BN000065.1_+1_826_1005"
ENA|BN000065|BN000065.1_predicted_orf_11,ENA|BN000065|BN000065.1,695,856,-,-2,162,53,TTG,0.47,Overlap,"ORF_ENA|BN000065|BN000065.1_+2_632_886,ORF_ENA|BN000065|BN000065.1_+3_717_869,ORF_ENA|BN000065|BN000065.1_-1_750_905"
ENA|BN000065|BN000065.1_predicted_orf_12,ENA|BN000065|BN000065.1,750,905,-,-1,156,51,ATG,0.617,Overlap,"ORF_ENA|BN000065|BN000065.1_+2_632_886,ORF_ENA|BN000065|BN000065.1_-2_695_856,ORF_ENA|BN000065|BN000065.1_+3_717_869,ORF_ENA|BN000065|BN000065.1_+1_826_1005"
ENA|BN000065|BN000065.1_predicted_orf_13,ENA|BN000065|BN000065.1,826,1005,+,1,180,59,TTG,0.498,Overlap,"ORF_ENA|BN000065|BN000065.1_+2_632_886,ORF_ENA|BN000065|BN000065.1_-1_750_905,ORF_ENA|BN000065|BN000065.1_-3_949_1074"
ENA|BN000065|BN000065.1_predicted_orf_14,ENA|BN000065|BN000065.1,949,1074,-,-3,126,41,GTG,0.4941,Overlap,"ORF_ENA|BN000065|BN000065.1_+1_826_1005,ORF_ENA|BN000065|BN000065.1_+3_963_1139"
ENA|BN000065|BN000065.1_predicted_orf_15,ENA|BN000065|BN000065.1,963,1139,+,3,177,58,TTG,0.4965,Overlap,ORF_ENA|BN000065|BN000065.1_-3_949_1074
ENA|BN000065|BN000065.1_predicted_orf_16,ENA|BN000065|BN000065.1,1183,1287,+,1,105,34,TTG,0.4155,Overlap,ORF_ENA|BN000065|BN000065.1_-2_1202_1333
ENA|BN000065|BN000065.1_predicted_orf_17,ENA|BN000065|BN000065.1,1202,1333,-,-2,132,43,ATG,0.5919,Overlap,ORF_ENA|BN000065|BN000065.1_+1_1183_1287
ENA|BN000065|BN000065.1_predicted_orf_18,ENA|BN000065|BN000065.1,1337,1432,-,-2,96,31,ATG,0.5588,Overlap,"ORF_ENA|BN000065|BN000065.1_+3_1341_1475,ORF_ENA|BN000065|BN000065.1_+1_1357_1479"
ENA|BN000065|BN000065.1_predicted_orf_19,ENA|BN000065|BN000065.1,1341,1475,+,3,135,44,GTG,0.5034,Overlap,"ORF_ENA|BN000065|BN000065.1_-2_1337_1432,ORF_ENA|BN000065|BN000065.1_+1_1357_1479"
ENA|BN000065|BN000065.1_predicted_orf_20,ENA|BN000065|BN000065.1,1357,1479,+,1,123,40,GTG,0.4923,Overlap,"ORF_ENA|BN000065|BN000065.1_-2_1337_1432,ORF_ENA|BN000065|BN000065.1_+3_1341_1475"
ENA|BN000065|BN000065.1_predicted_orf_21,ENA|BN000065|BN000065.1,1432,1620,-,-3,189,62,TTG,0.5121,Overlap,ORF_ENA|BN000065|BN000065.1_+2_1481_1651
ENA|BN000065|BN000065.1_predicted_orf_22,ENA|BN000065|BN000065.1,1481,1651,+,2,171,56,TTG,0.4861,Overlap,ORF_ENA|BN000065|BN000065.1_-3_1432_1620
ENA|BN000065|BN000065.1_predicted_orf_23,ENA|BN000065|BN000065.1,1608,2012,+,3,405,134,ATG,0.9424,Overlap,"ORF_ENA|BN000065|BN000065.1_-1_1623_1790,ORF_ENA|BN000065|BN000065.1_+1_1669_1971,ORF_ENA|BN000065|BN000065.1_-3_1681_1845,ORF_ENA|BN000065|BN000065.1_-2_1691_1885,ORF_ENA|BN000065|BN000065.1_+2_1793_1924,ORF_ENA|BN000065|BN000065.1_-1_1842_1943"
ENA|BN000065|BN000065.1_predicted_orf_24,ENA|BN000065|BN000065.1,1623,1790,-,-1,168,55,TTG,0.4786,Overlap,"ORF_ENA|BN000065|BN000065.1_+3_1608_2012,ORF_ENA|BN000065|BN000065.1_+1_1669_1971,ORF_ENA|BN000065|BN000065.1_-3_1681_1845,ORF_ENA|BN000065|BN000065.1_-2_1691_1885"
ENA|BN000065|BN000065.1_predicted_orf_25,ENA|BN000065|BN000065.1,1681,1845,-,-3,165,54,GTG,0.5302,Overlap,"ORF_ENA|BN000065|BN000065.1_+3_1608_2012,ORF_ENA|BN000065|BN000065.1_-1_1623_1790,ORF_ENA|BN000065|BN000065.1_+1_1669_1971,ORF_ENA|BN000065|BN000065.1_-2_1691_1885,ORF_ENA|BN000065|BN000065.1_+2_1793_1924"
ENA|BN000065|BN000065.1_predicted_orf_26,ENA|BN000065|BN000065.1,1691,1885,-,-2,195,64,GTG,0.5714,Overlap,"ORF_ENA|BN000065|BN000065.1_+3_1608_2012,ORF_ENA|BN000065|BN000065.1_-1_1623_1790,ORF_ENA|BN000065|BN000065.1_+1_1669_1971,ORF_ENA|BN000065|BN000065.1_-3_1681_1845,ORF_ENA|BN000065|BN000065.1_+2_1793_1924"
ENA|BN000065|BN000065.1_predicted_orf_27,ENA|BN000065|BN000065.1,1842,1943,-,-1,102,33,GTG,0.4711,Overlap,"ORF_ENA|BN000065|BN000065.1_+3_1608_2012,ORF_ENA|BN000065|BN000065.1_+1_1669_1971,ORF_ENA|BN000065|BN000065.1_+2_1793_1924"
ENA|BN000065|BN000065.1_predicted_orf_28,ENA|BN000065|BN000065.1,1976,2068,+,2,93,30,ATG,0.5562,Overlap,ORF_ENA|BN000065|BN000065.1_+1_2002_2220
ENA|BN000065|BN000065.1_predicted_orf_29,ENA|BN000065|BN000065.1,2002,2220,+,1,219,72,GTG,0.6201,Overlap,"ORF_ENA|BN000065|BN000065.1_+2_1976_2068,ORF_ENA|BN000065|BN000065.1_-1_2061_2180,ORF_ENA|BN000065|BN000065.1_-3_2134_2235"
