orf_id,sequence_id,start,end,strand,frame,length_bp,length_aa,start_codon,confidence_score,overlap_flag,overlap_with
ENA|CY000001|CY000001.1_predicted_orf_1,ENA|CY000001|CY000001.1,30,1730,+,3,1701,566,ATG,1.0,Overlap,"ORF_ENA|CY000001|CY000001.1_-2_40_162,ORF_ENA|CY000001|CY000001.1_-3_60_176,ORF_ENA|CY000001|CY000001.1_+1_169_276,ORF_ENA|CY000001|CY000001.1_+1_280_411,ORF_ENA|CY000001|CY000001.1_+1_412_531,ORF_ENA|CY000001|CY000001.1_-3_417_545,ORF_ENA|CY000001|CY000001.1_-1_470_613,ORF_ENA|CY000001|CY000001.1_-3_546_650,ORF_ENA|CY000001|CY000001.1_+1_589_717,ORF_ENA|CY000001|CY000001.1_-1_665_772,ORF_ENA|CY000001|CY000001.1_-1_845_952,ORF_ENA|CY000001|CY000001.1_-3_885_1205,ORF_ENA|CY000001|CY000001.1_-1_959_1093,ORF_ENA|CY000001|CY000001.1_+1_1099_1221,ORF_ENA|CY000001|CY000001.1_-1_1295_1510,ORF_ENA|CY000001|CY000001.1_-2_1324_1431,ORF_ENA|CY000001|CY000001.1_-1_1532_1726,ORF_ENA|CY000001|CY000001.1_+2_1616_1711,ORF_ENA|CY000001|CY000001.1_+1_1636_1743,ORF_ENA|CY000001|CY000001.1_-3_1644_1736"
ENA|CY000001|CY000001.1_predicted_orf_2,ENA|CY000001|CY000001.1,40,162,-,-2,123,40,TTG,0.4333,Overlap,"ORF_ENA|CY000001|CY000001.1_+3_30_1730,ORF_ENA|CY000001|CY000001.1_-3_60_176"
ENA|CY000001|CY000001.1_predicted_orf_3,ENA|CY000001|CY000001.1,60,176,-,-3,117,38,TTG,0.4272,Overlap,"ORF_ENA|CY000001|CY000001.1_+3_30_1730,ORF_ENA|CY000001|CY000001.1_-2_40_162"
ENA|CY000001|CY000001.1_predicted_orf_4,ENA|CY000001|CY000001.1,417,545,-,-3,129,42,GTG,0.4997,Overlap,"ORF_ENA|CY000001|CY000001.1_+3_30_1730,ORF_ENA|CY000001|CY000001.1_+1_412_531,ORF_ENA|CY000001|CY000001.1_-1_470_613"
ENA|CY000001|CY000001.1_predicted_orf_5,ENA|CY000001|CY000001.1,470,613,-,-1,144,47,ATG,0.6024,Overlap,"ORF_ENA|CY000001|CY000001.1_+3_30_1730,ORF_ENA|CY000001|CY000001.1_+1_412_531,ORF_ENA|CY000001|CY000001.1_-3_417_545,ORF_ENA|CY000001|CY000001.1_-3_546_650"
ENA|CY000001|CY000001.1_predicted_orf_6,ENA|CY000001|CY000001.1,546,650,-,-3,105,34,TTG,0.4185,Overlap,"ORF_ENA|CY000001|CY000001.1_+3_30_1730,ORF_ENA|CY000001|CY000001.1_-1_470_613,ORF_ENA|CY000001|CY000001.1_+1_589_717"
ENA|CY000001|CY000001.1_predicted_orf_7,ENA|CY000001|CY000001.1,665,772,-,-1,108,35,ATG,0.5705,Overlap,"ORF_ENA|CY000001|CY000001.1_+3_30_1730,ORF_ENA|CY000001|CY000001.1_+1_589_717"
ENA|CY000001|CY000001.1_predicted_orf_8,ENA|CY000001|CY000001.1,845,952,-,-1,108,35,TTG,0.4205,Overlap,"ORF_ENA|CY000001|CY000001.1_+3_30_1730,ORF_ENA|CY000001|CY000001.1_-3_885_1205"
ENA|CY000001|CY000001.1_predicted_orf_9,ENA|CY000001|CY000001.1,885,1205,-,-3,321,106,TTG,0.7192,Overlap,"ORF_ENA|CY000001|CY000001.1_+3_30_1730,ORF_ENA|CY000001|CY000001.1_-1_845_952,ORF_ENA|CY000001|CY000001.1_-1_959_1093,ORF_ENA|CY000001|CY000001.1_+1_1099_1221"
ENA|CY000001|CY000001.1_predicted_orf_10,ENA|CY000001|CY000001.1,1295,1510,-,-1,216,71,ATG,0.7053,Overlap,"ORF_ENA|CY000001|CY000001.1_+3_30_1730,ORF_ENA|CY000001|CY000001.1_-2_1324_1431"
ENA|CY000001|CY000001.1_predicted_orf_11,ENA|CY000001|CY000001.1,1532,1726,-,-1,195,64,ATG,0.6726,Overlap,"ORF_ENA|CY000001|CY000001.1_+3_30_1730,ORF_ENA|CY000001|CY000001.1_+2_1616_1711,ORF_ENA|CY000001|CY000001.1_+1_1636_1743,ORF_ENA|CY000001|CY000001.1_-3_1644_1736"
ENA|CY000001|CY000001.1_predicted_orf_12,ENA|CY000001|CY000001.1,1636,1743,+,1,108,35,TTG,0.4205,Overlap,"ORF_ENA|CY000001|CY000001.1_+3_30_1730,ORF_ENA|CY000001|CY000001.1_-1_1532_1726,ORF_ENA|CY000001|CY000001.1_+2_1616_1711,ORF_ENA|CY000001|CY000001.1_-3_1644_1736"
ENA|CY000001|CY000001.1_predicted_orf_13,ENA|CY000001|CY000001.1,1644,1736,-,-3,93,30,ATG,0.5596,Overlap,"ORF_ENA|CY000001|CY000001.1_+3_30_1730,ORF_ENA|CY000001|CY000001.1_-1_1532_1726,ORF_ENA|CY000001|CY000001.1_+2_1616_1711,ORF_ENA|CY000001|CY000001.1_+1_1636_1743"
