query_id,subject_id,identity_percent,alignment_length,evalue,bitscore,query_coverage,subject_coverage,mismatch,gapopen,qstart,qend,sstart,send,qlen,slen,rejection_reason
ENA|AF389121|AF389121.1_predicted_orf_2,sp|B4URD8|M1_I06A0,100.0,252,3.31e-173,476.0,100.0,100.0,0,0,1,252,1,252,252,252,Alternative match (lower alignment ranking).
ENA|AF389121|AF389121.1_predicted_orf_2,sp|A4GCI8|M1_I36A0,99.6,252,1.35e-172,474.0,100.0,100.0,1,0,1,252,1,252,252,252,Alternative match (lower alignment ranking).
ENA|AF389121|AF389121.1_predicted_orf_2,sp|Q9IQ48|M1_I000X,99.2,252,2.24e-171,471.0,100.0,100.0,2,0,1,252,1,252,252,252,Alternative match (lower alignment ranking).
ENA|AF389121|AF389121.1_predicted_orf_2,sp|P05777|M1_I33A0,98.0,252,3.18e-171,471.0,100.0,100.0,5,0,1,252,1,252,252,252,Alternative match (lower alignment ranking).
ENA|AF389121|AF389121.1_predicted_orf_2,sp|A4GCL0|M1_I43A0,98.0,252,9.1e-171,470.0,100.0,100.0,5,0,1,252,1,252,252,252,Alternative match (lower alignment ranking).
ENA|AF389121|AF389121.1_predicted_orf_2,sp|A4U6V4|M1_I45A0,98.0,252,9.1e-171,470.0,100.0,100.0,5,0,1,252,1,252,252,252,Alternative match (lower alignment ranking).
ENA|AF389121|AF389121.1_predicted_orf_2,sp|Q0HD58|M1_I40A0,98.0,252,9.1e-171,470.0,100.0,100.0,5,0,1,252,1,252,252,252,Alternative match (lower alignment ranking).
ENA|AF389121|AF389121.1_predicted_orf_2,sp|A8C8W5|M1_I67A2,97.6,252,1.84e-170,469.0,100.0,100.0,6,0,1,252,1,252,252,252,Alternative match (lower alignment ranking).
ENA|AF389121|AF389121.1_predicted_orf_2,sp|Q76V07|M1_I88A7,97.6,252,1.84e-170,469.0,100.0,100.0,6,0,1,252,1,252,252,252,Alternative match (lower alignment ranking).
ENA|AF389121|AF389121.1_predicted_orf_2,sp|Q76V10|M1_I37A0,97.6,252,1.84e-170,469.0,100.0,100.0,6,0,1,252,1,252,252,252,Alternative match (lower alignment ranking).
ENA|AF389121|AF389121.1_predicted_orf_2,sp|A4GCM1|M1_I35A3,97.6,252,2.61e-170,469.0,100.0,100.0,6,0,1,252,1,252,252,252,Alternative match (lower alignment ranking).
ENA|AF389121|AF389121.1_predicted_orf_2,sp|A4K145|M1_I54A2,97.6,252,3.71e-170,468.0,100.0,100.0,6,0,1,252,1,252,252,252,Alternative match (lower alignment ranking).
